data,1 GBP
2018-01-02,4.6805
2018-01-03,4.7030
2018-01-04,4.6691
2018-01-05,4.6663
2018-01-08,4.6990
2018-01-09,4.7347
2018-01-10,4.7240
2018-01-11,4.7136
2018-01-12,4.6777
2018-01-15,4.6902
2018-01-16,4.7060
2018-01-17,4.7051
2018-01-18,4.7216
2018-01-19,4.7301
2018-01-22,4.7304
2018-01-23,4.7527
2018-01-24,4.7563
2018-01-25,4.7688
2018-01-26,4.7489
2018-01-29,4.7082
2018-01-30,4.7061
2018-01-31,4.7076
2018-02-01,4.7512
2018-02-02,4.7381
2018-02-05,4.7111
2018-02-06,4.6877
2018-02-07,4.6886
2018-02-08,4.7298
2018-02-09,4.7690
2018-02-12,4.7244
2018-02-13,4.7090
2018-02-14,4.6846
2018-02-15,4.6763
2018-02-16,4.6769
2018-02-19,4.6829
2018-02-20,4.7042
2018-02-21,4.7072
2018-02-22,4.7233
2018-02-23,4.7365
2018-02-26,4.7527
2018-02-27,4.7199
2018-02-28,4.7482
2018-03-01,4.7207
2018-03-02,4.7109
2018-03-05,4.6975
2018-03-06,4.7000
2018-03-07,4.6788
2018-03-08,4.7046
2018-03-09,4.7142
2018-03-12,4.7200
2018-03-13,4.7404
2018-03-14,4.7506
2018-03-15,4.7556
2018-03-16,4.7778
2018-03-19,4.7982
2018-03-20,4.8114
2018-03-21,4.8564
2018-03-22,4.8445
2018-03-23,4.8368
2018-03-26,4.8475
2018-03-27,4.7993
2018-03-28,4.8081
2018-03-29,4.8018
2018-03-30,4.7974
2018-04-03,4.8124
2018-04-04,4.8179
2018-04-05,4.8160
2018-04-06,4.8056
2018-04-09,4.8221
2018-04-10,4.8267
2018-04-11,4.8069
2018-04-12,4.8022
2018-04-13,4.8372
2018-04-16,4.8047
2018-04-17,4.8102
2018-04-18,4.7861
2018-04-19,4.7770
2018-04-20,4.7660
2018-04-23,4.7790
2018-04-24,4.8002
2018-04-25,4.8218
2018-04-26,4.8454
2018-04-27,4.8379
2018-04-30,4.7888
2018-05-02,4.8516
2018-05-04,4.8430
2018-05-07,4.8236
2018-05-08,4.8471
2018-05-09,4.8894
2018-05-10,4.8513
2018-05-11,4.8311
2018-05-14,4.8314
2018-05-15,4.8640
2018-05-16,4.8875
2018-05-17,4.9093
2018-05-18,4.9117
2018-05-21,4.9071
2018-05-22,4.8814
2018-05-23,4.9034
2018-05-24,4.9056
2018-05-25,4.9061
2018-05-28,4.9089
2018-05-29,4.9356
2018-05-30,4.9383
2018-06-01,4.9102
2018-06-04,4.9002
2018-06-05,4.8913
2018-06-06,4.8911
2018-06-07,4.8542
2018-06-08,4.8900
2018-06-11,4.8451
2018-06-12,4.8604
2018-06-13,4.8582
2018-06-14,4.8596
2018-06-15,4.8998
2018-06-18,4.9003
2018-06-19,4.9202
2018-06-20,4.9159
2018-06-21,4.9309
2018-06-22,4.9209
2018-06-25,4.9119
2018-06-26,4.9281
2018-06-27,4.9285
2018-06-28,4.9339
2018-06-29,4.9270
2018-07-02,4.9660
2018-07-03,4.9754
2018-07-04,4.9863
2018-07-05,4.9627
2018-07-06,4.9305
2018-07-09,4.9159
2018-07-10,4.8990
2018-07-11,4.9048
2018-07-12,4.8953
2018-07-13,4.8896
2018-07-16,4.8811
2018-07-17,4.8572
2018-07-18,4.8276
2018-07-19,4.8348
2018-07-20,4.8376
2018-07-23,4.8500
2018-07-24,4.8550
2018-07-25,4.8414
2018-07-26,4.8300
2018-07-27,4.8353
2018-07-30,4.8155
2018-07-31,4.7950
2018-08-01,4.7989
2018-08-02,4.8128
2018-08-03,4.7983
2018-08-06,4.7863
2018-08-07,4.7624
2018-08-08,4.7465
2018-08-09,4.7464
2018-08-10,4.7812
2018-08-13,4.8298
2018-08-14,4.8232
2018-08-16,4.8135
2018-08-17,4.8043
2018-08-20,4.8009
2018-08-21,4.7951
2018-08-22,4.7798
2018-08-23,4.7724
2018-08-24,4.7501
2018-08-27,4.7282
2018-08-28,4.7166
2018-08-29,4.7316
2018-08-30,4.7760
2018-08-31,4.7917
2018-09-03,4.7692
2018-09-04,4.7790
2018-09-05,4.7856
2018-09-06,4.8071
2018-09-07,4.7887
2018-09-10,4.8255
2018-09-11,4.8371
2018-09-12,4.8433
2018-09-13,4.8432
2018-09-14,4.8346
2018-09-17,4.8314
2018-09-18,4.8370
2018-09-19,4.8406
2018-09-20,4.8412
2018-09-21,4.8116
2018-09-24,4.8040
2018-09-25,4.7987
2018-09-26,4.7980
2018-09-27,4.7982
2018-09-28,4.8055
2018-10-01,4.8149
2018-10-02,4.8403
2018-10-03,4.8293
2018-10-04,4.8618
2018-10-05,4.8897
2018-10-08,4.9058
2018-10-09,4.9161
2018-10-10,4.9276
2018-10-11,4.9336
2018-10-12,4.9081
2018-10-15,4.8720
2018-10-16,4.8872
2018-10-17,4.8794
2018-10-18,4.8906
2018-10-19,4.9014
2018-10-22,4.8642
2018-10-23,4.8704
2018-10-24,4.8758
2018-10-25,4.8773
2018-10-26,4.8597
2018-10-29,4.8635
2018-10-30,4.8585
2018-10-31,4.8650
2018-11-02,4.9250
2018-11-05,4.9302
2018-11-06,4.9359
2018-11-07,4.9235
2018-11-08,4.9318
2018-11-09,4.9221
2018-11-12,4.9027
2018-11-13,4.9325
2018-11-14,4.9424
2018-11-15,4.8686
2018-11-16,4.8468
2018-11-19,4.8701
2018-11-20,4.8643
2018-11-21,4.8353
2018-11-22,4.8300
2018-11-23,4.8542
2018-11-26,4.8392
2018-11-27,4.8389
2018-11-28,4.8636
2018-11-29,4.8216
2018-11-30,4.8161
2018-12-03,4.8148
2018-12-04,4.8058
2018-12-05,4.8144
2018-12-06,4.8221
2018-12-07,4.8084
2018-12-10,4.7852
2018-12-11,4.7647
2018-12-12,4.7556
2018-12-13,4.7787
2018-12-14,4.7940
2018-12-17,4.7718
2018-12-18,4.7654
2018-12-19,4.7607
2018-12-20,4.7357
2018-12-21,4.7530
2018-12-24,4.7544
2018-12-27,4.7493
2018-12-28,4.7480
2018-12-31,4.7895
,
kod ISO,GBP
nazwa waluty,funt szterling
liczba jednostek,1
